anime_id,title,score,start_date,end_date,num_episodes,airing_days,airing_weeks
2859,Ikusa Otome Valkyrie Shinshou,6.2,2006-02-24 00:00:00,2007-05-25 00:00:00,2,455,65.0
4763,Tsuma Shibori,7.1,2008-05-25 00:00:00,2008-09-25 00:00:00,2,123,17.6
9312,Mofukuzuma,6.2,2010-10-29 00:00:00,2011-04-29 00:00:00,2,182,26.0
1007,Ranma ½ OVA,7.8,1993-10-21 00:00:00,1994-08-19 00:00:00,6,302,43.1
1347,Bubblegum Crisis,7.3,1987-02-25 00:00:00,1991-01-30 00:00:00,8,1435,205.0
5054,Kojin Jugyou The Animation: Schoolgirl Ready for a Private Lesson,6.6,2008-04-25 00:00:00,2008-05-27 00:00:00,2,32,4.6
40700,Shikijou Kyoudan,6.9,2020-03-06 00:00:00,2020-04-03 00:00:00,2,28,4.0
36052,Kyonyuu Daikazoku Saimin,7.1,2017-12-01 00:00:00,2018-01-26 00:00:00,2,56,8.0
11807,School,6.8,2011-11-25 00:00:00,2012-07-13 00:00:00,2,231,33.0
4011,Binetsukko ♭37℃ The Animation,6.0,2003-11-28 00:00:00,2004-02-27 00:00:00,2,91,13.0
25877,Demonion: Gaiden,6.6,2014-11-21 00:00:00,2015-03-27 00:00:00,2,126,18.0
4357,El,5.4,2001-04-25 00:00:00,2001-07-25 00:00:00,2,91,13.0
2007,Dousou Kai Again,5.7,2002-07-25 00:00:00,2002-12-20 00:00:00,2,148,21.1
4561,Zoku Gosenzo San'e,5.4,2000-10-25 00:00:00,2001-04-25 00:00:00,4,182,26.0
4260,Five Card,5.4,2000-09-28 00:00:00,2001-08-28 00:00:00,4,334,47.7
38039,Kyonyuu JK ga Ojisan Chinpo to Jupo Jupo Iyarashii Sex Shitemasu.,6.7,2018-10-05 00:00:00,2018-11-02 00:00:00,2,28,4.0
2752,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,7.9,2007-06-22 00:00:00,2008-01-25 00:00:00,6,217,31.0
1080,Sentou Yousei Yukikaze,7.2,2002-08-25 00:00:00,2005-08-26 00:00:00,5,1097,156.7
38265,Muma no Machi Cornelica,6.7,2018-11-30 00:00:00,2019-04-26 00:00:00,4,147,21.0
1383,Yuuwaku Countdown,5.8,1995-06-15 00:00:00,1995-11-22 00:00:00,6,160,22.9
11747,Kiriya Hakushaku Ke no Roku Shimai,6.8,2011-12-22 00:00:00,2012-03-30 00:00:00,2,99,14.1
3641,Naisho no Tsubomi,6.5,2008-04-25 00:00:00,2008-06-27 00:00:00,3,63,9.0
31883,Bakuon!! OVA,6.4,2016-03-18 00:00:00,2016-12-20 00:00:00,2,277,39.6
5653,Mahou Shoujo Ai San: The Anime,6.3,2009-01-25 00:00:00,2009-05-25 00:00:00,3,120,17.1
32518,Shoujo kara Shoujo e...,7.0,2016-02-12 00:00:00,2016-03-11 00:00:00,2,28,4.0
4849,Triangle Heart: Sazanami Joshi Ryo,5.4,2000-08-28 00:00:00,2002-04-26 00:00:00,5,606,86.6
4342,Harukoi Otome,6.6,2008-04-18 00:00:00,2008-07-18 00:00:00,2,91,13.0
4379,Inmu: Ikenie no Utage,5.6,2000-01-21 00:00:00,2000-04-28 00:00:00,2,98,14.0
9504,Sakura no Mori,4.2,1999-07-30 00:00:00,1999-08-27 00:00:00,2,28,4.0
14379,Shoujo x Shoujo x Shoujo The Animation,6.9,2012-08-31 00:00:00,2012-11-30 00:00:00,2,91,13.0
2276,Shin Saishuu Chikan Densha,6.4,2004-08-25 00:00:00,2005-05-25 00:00:00,3,273,39.0
35029,Tensei Kendo no Harem Colosseo,6.8,2017-05-26 00:00:00,2018-01-26 00:00:00,4,245,35.0
4350,Megami Kyouju,5.6,2003-08-27 00:00:00,2003-11-21 00:00:00,2,86,12.3
5216,D.C.if: Da Capo if,7.2,2008-12-25 00:00:00,2009-03-25 00:00:00,2,90,12.9
9009,Otome Juurin Yuugi: Maiden Infringement Play,6.4,2010-08-27 00:00:00,2010-11-26 00:00:00,2,91,13.0
